stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
f0892a66,f0892a66,Gitaratan School,,28.711191,77.121056,,,0,,,0,,
80ac3aaa,80ac3aaa,Himalaya Public School,,28.71052,77.12204,,,0,,,0,,
d96d5218,d96d5218,Sai Baba Chowk,,28.709038,77.124298,,,0,,,0,,
249d42a9,249d42a9,Rohini East Metro Station,,28.707708,77.126343,,,0,,,0,,
4ed21c62,4ed21c62,Fire Station,,28.706348,77.128036,,,0,,,0,,
a37e3cf0,a37e3cf0,Saroj Hospital,,28.705832,77.128761,,,0,,,0,,
986df976,986df976,Rohini Court,,28.705412,77.129417,,,0,,,0,,
418cab0c,418cab0c,Rukmini Devi College,,28.705114,77.129814,,,0,,,0,,
f58feca8,f58feca8,Madhuban Chowk,,28.704582,77.130684,,,0,,,0,,
48a87622,48a87622,Rohini East,,28.707941,77.125732,,,0,,,0,,
3d70b714,3d70b714,Sai Baba Chowk,,28.707148,77.123619,,,0,,,0,,
fb6d758c,fb6d758c,Sector 7 And 8 Red Light Ramleela Ground,,28.706104,77.122658,,,0,,,0,,
f8e1edd0,f8e1edd0,Goel Garments,,28.702099,77.119095,,,0,,,0,,
510aff60,510aff60,Deepali Chowk,,28.701164,77.118225,,,0,,,0,,
12a55a1e,12a55a1e,M2K Rohini,,28.702311,77.116516,,,0,,,0,,
cc4c3739,cc4c3739,M2K Rohini,,28.703047,77.115486,,,0,,,0,,
1a24717d,1a24717d,Keshav Puram,,28.688944,77.161774,,,0,,,0,,
851daaa2,851daaa2,B4 And Tyagi Public School,,28.686998,77.162766,,,0,,,0,,
4b07bffe,4b07bffe,Prerna Chowk,,28.683943,77.164307,,,0,,,0,,
5a8050a1,5a8050a1,Kanhaiya Nagar Metro Station,,28.682854,77.164581,,,0,,,0,,
c99eae9d,c99eae9d,Tri Nagar And J J Colony,,28.678366,77.166847,,,0,,,0,,
6d317ec8,6d317ec8,Shanti Nagar,,28.677032,77.16748,,,0,,,0,,
bae68bcc,bae68bcc,Inderlok Metro Station,,28.674034,77.169182,,,0,,,0,,
0e20787f,0e20787f,Pitampura,,28.70318,77.132355,,,0,,,0,,
46ee977c,46ee977c,Dda Flats,,28.698172,77.13179,,,0,,,0,,
e90efc8d,e90efc8d,Skv Coed School,,28.697813,77.130203,,,0,,,0,,
6e551ceb,6e551ceb,Kailash Enclave,,28.696524,77.130005,,,0,,,0,,
3332c772,3332c772,Sai Baba Chowk,,28.69426,77.130539,,,0,,,0,,
2696c1e1,2696c1e1,Rashmi Apartment,,28.693027,77.130798,,,0,,,0,,
5dd2bead,5dd2bead,Shakti Vihar,,28.691528,77.130531,,,0,,,0,,
1a632e03,1a632e03,Guru Harkishan Public School,,28.689386,77.129845,,,0,,,0,,
952b9927,952b9927,Rani Bagh,,28.688938,77.12986,,,0,,,0,,
0e20787f,0e20787f,Pitampura,,28.70318,77.132355,,,0,,,0,,
5dd6e494,5dd6e494,Saraswati Vihar,,28.699694,77.124275,,,0,,,0,,
a21a2081,a21a2081,Royal Enfield Showroom,,28.69833,77.120796,,,0,,,0,,
f48d4572,f48d4572,Deepali Chowk,,28.698023,77.119629,,,0,,,0,,
