trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_pickup,continuous_drop_off
trip_69,07:08:11,07:08:11,fde3b720,3,,0,0,891.313,1,0,0
trip_69,07:16:50,07:16:50,99070424,4,,0,0,1972.865,1,0,0
trip_69,07:18:38,07:18:38,0df53178,5,,0,0,2124.299,1,0,0
trip_69,07:24:13,07:24:13,cae2e0ef,6,,0,0,2592.347,1,0,0
trip_70,07:00:00,07:00:00,ea0b232f,1,,0,0,0.0,1,0,0
trip_70,07:03:00,07:03:00,683b0d12,2,,0,0,316.005,1,0,0
trip_70,07:09:52,07:09:52,a1c7da3d,3,,0,0,893.844,1,0,0
trip_70,07:15:27,07:15:27,b953eeab,4,,0,0,1360.557,1,0,0
trip_70,07:17:57,07:17:57,92d73202,5,,0,0,1569.979,1,0,0
trip_70,07:20:15,07:20:15,8521ae49,6,,0,0,1764.192,1,0,0
trip_71,07:00:00,07:00:00,ea0b232f,1,,0,0,0.0,1,0,0
trip_71,07:05:37,07:05:37,6e07a946,2,,0,0,572.424,1,0,0
trip_71,07:08:20,07:08:20,5dd81921,3,,0,0,875.282,1,0,0
trip_71,07:13:20,07:13:20,2492de37,4,,0,0,1433.392,1,0,0
trip_71,07:15:44,07:15:44,fdaa676c,5,,0,0,1634.1,1,0,0
trip_71,07:19:22,07:19:22,2a9875fb,6,,0,0,1938.053,1,0,0
trip_71,07:31:40,07:31:40,9523b4d6,7,,0,0,2989.961,1,0,0
trip_71,07:42:15,07:42:15,03b269f2,8,,0,0,3895.806,1,0,0
trip_71,07:46:41,07:46:41,c23de43c,9,,0,0,4267.503,1,0,0
trip_72,07:00:00,07:00:00,ea0b232f,1,,0,0,0.0,1,0,0
trip_72,07:08:01,07:08:01,96d6f1a7,2,,0,0,699.089,1,0,0
trip_72,07:15:08,07:15:08,e0c07a2e,3,,0,0,1315.517,1,0,0
trip_72,07:17:12,07:17:12,bdef8ba0,4,,0,0,1488.897,1,0,0
trip_72,07:21:31,07:21:31,ce1850a4,5,,0,0,1758.165,1,0,0
trip_72,07:29:01,07:29:01,57d9c900,6,,0,0,2503.651,1,0,0
trip_72,07:33:48,07:33:48,2d1ef476,7,,0,0,2902.337,1,0,0
trip_72,07:34:33,07:34:33,6169ebc2,8,,0,0,2962.457,1,0,0
trip_73,07:00:00,07:00:00,971621c9,1,,0,0,0.0,1,0,0
trip_73,07:04:17,07:04:17,dd04cfb1,2,,0,0,504.989,1,0,0
trip_73,07:07:32,07:07:32,5e5cdb03,3,,0,0,820.334,1,0,0
trip_73,07:09:46,07:09:46,6469cd44,4,,0,0,1009.671,1,0,0
trip_73,07:12:57,07:12:57,9bfe3df8,5,,0,0,1275.783,1,0,0
trip_73,07:15:39,07:15:39,e73771bf,6,,0,0,1500.67,1,0,0
trip_73,07:17:34,07:17:34,b44736ce,7,,0,0,1656.314,1,0,0
trip_73,07:19:45,07:19:45,fe1e1254,8,,0,0,1894.878,1,0,0
trip_73,07:21:10,07:21:10,eb367049,9,,0,0,2019.651,1,0,0
trip_73,07:26:23,07:26:23,ca0ee142,10,,0,0,2454.594,1,0,0
trip_73,07:27:19,07:27:19,a67d33e8,11,,0,0,2532.63,1,0,0
trip_73,07:34:45,07:34:45,2eafc0f3,12,,0,0,3263.742,1,0,0
trip_73,07:36:17,07:36:17,af52994c,13,,0,0,3391.609,1,0,0
trip_73,07:39:59,07:39:59,8ee85b2e,14,,0,0,3698.366,1,0,0
trip_73,07:41:08,07:41:08,47250560,15,,0,0,3913.575,1,0,0
trip_74,07:00:00,07:00:00,971621c9,1,,0,0,0.0,1,0,0
trip_74,07:01:57,07:01:57,ac333110,2,,0,0,168.914,1,0,0
trip_74,07:07:07,07:07:07,8555c933,3,,0,0,625.062,1,0,0
trip_74,07:09:42,07:09:42,c186d9cd,4,,0,0,840.663,1,0,0
trip_74,07:13:12,07:13:12,ae699e60,5,,0,0,1132.102,1,0,0
trip_74,07:14:56,07:14:56,bec8c476,6,,0,0,1276.911,1,0,0
trip_74,07:17:51,07:17:51,f89de9a7,7,,0,0,1521.761,1,0,0
trip_74,07:26:19,07:26:19,ed70be98,8,,0,0,2270.177,1,0,0
trip_74,07:31:10,07:31:10,3896abf9,9,,0,0,2676.176,1,0,0
trip_74,07:35:22,07:35:22,00b15529,10,,0,0,3026.804,1,0,0
trip_74,07:38:30,07:38:30,3727725f,11,,0,0,3299.882,1,0,0
trip_74,07:47:03,07:47:03,1bfb7ac8,12,,0,0,4017.155,1,0,0
trip_75,08:00:00,08:00:00,e3eee0db,1,,0,0,0.0,1,0,0
trip_75,08:11:44,08:11:44,4c58f18a,2,,0,0,1133.945,1,0,0
trip_75,08:17:30,08:17:30,6e3e05dd,3,,0,0,1684.841,1,0,0
trip_75,08:18:53,08:18:53,68b7a629,4,,0,0,1799.928,1,0,0
trip_75,08:21:37,08:21:37,9b08de6d,5,,0,0,2043.68,1,0,0
trip_75,08:23:15,08:23:15,3afe40ec,6,,0,0,2180.873,1,0,0
trip_75,08:26:47,08:26:47,f762abca,7,,0,0,2474.441,1,0,0
trip_75,08:33:20,08:33:20,69914bbc,8,,0,0,3077.914,1,0,0
trip_75,08:37:09,08:37:09,493c749b,9,,0,0,3396.547,1,0,0
trip_75,08:43:32,08:43:32,05c73d14,10,,0,0,3928.596,1,0,0
trip_76,08:00:00,08:00:00,30043cd4,1,,0,0,0.0,1,0,0
trip_76,08:05:35,08:05:35,9d7c8982,2,,0,0,499.829,1,0,0
trip_76,08:09:38,08:09:38,f1f1c68b,3,,0,0,837.117,1,0,0
trip_76,08:12:49,08:12:49,4e2b9715,4,,0,0,1103.569,1,0,0
trip_76,08:13:50,08:13:50,2c9b5759,5,,0,0,1187.986,1,0,0
trip_76,08:17:21,08:17:21,29b9a0f0,6,,0,0,1481.715,1,0,0
trip_76,08:22:31,08:22:31,ed829928,7,,0,0,1914.07,1,0,0
trip_76,08:26:35,08:26:35,de5dbf67,8,,0,0,2255.22,1,0,0
trip_76,08:28:42,08:28:42,49dfc675,9,,0,0,2432.238,1,0,0
trip_76,08:32:48,08:32:48,c1a29c59,10,,0,0,2772.921,1,0,0
trip_76,08:35:40,08:35:40,52a43a04,11,,0,0,3012.398,1,0,0
trip_76,08:40:04,08:40:04,e5d511dc,12,,0,0,3379.996,1,0,0
trip_76,08:46:31,08:46:31,da1f62cb,13,,0,0,3930.087,1,0,0
trip_76,08:49:30,08:49:30,d694a44b,14,,0,0,4178.93,1,0,0
trip_77,08:00:00,08:00:00,30043cd4,1,,0,0,0.0,1,0,0
trip_77,08:05:35,08:05:35,9d7c8982,2,,0,0,499.829,1,0,0
trip_77,08:09:38,08:09:38,f1f1c68b,3,,0,0,837.117,1,0,0
trip_77,08:12:49,08:12:49,4e2b9715,4,,0,0,1103.569,1,0,0
trip_77,08:13:50,08:13:50,2c9b5759,5,,0,0,1187.986,1,0,0
trip_77,08:17:21,08:17:21,29b9a0f0,6,,0,0,1481.715,1,0,0
trip_77,08:22:31,08:22:31,ed829928,7,,0,0,1914.07,1,0,0
trip_77,08:26:35,08:26:35,de5dbf67,8,,0,0,2255.22,1,0,0
trip_77,08:28:42,08:28:42,49dfc675,9,,0,0,2432.238,1,0,0
trip_77,08:32:48,08:32:48,c1a29c59,10,,0,0,2772.921,1,0,0
trip_77,08:35:40,08:35:40,52a43a04,11,,0,0,3012.398,1,0,0
trip_77,08:40:04,08:40:04,e5d511dc,12,,0,0,3379.996,1,0,0
trip_77,08:46:31,08:46:31,da1f62cb,13,,0,0,3930.087,1,0,0
trip_77,08:49:30,08:49:30,d694a44b,14,,0,0,4178.93,1,0,0
trip_78,07:00:00,07:00:00,f5dbc4dc,1,,0,0,0.0,1,0,0
trip_78,07:03:48,07:03:48,04f76537,2,,0,0,615.543,1,0,0
trip_78,07:08:03,07:08:03,d31ee332,3,,0,0,975.937,1,0,0
trip_78,07:10:53,07:10:53,ef5c0541,4,,0,0,1186.287,1,0,0
trip_78,07:22:15,07:22:15,c1926dc6,5,,0,0,2163.82,1,0,0
trip_78,07:28:22,07:28:22,c0cf7c76,6,,0,0,2675.952,1,0,0
trip_78,07:35:53,07:35:53,72e2f427,7,,0,0,3303.102,1,0,0
trip_78,07:41:58,07:41:58,dc5d69a7,8,,0,0,3759.287,1,0,0
trip_78,07:44:06,07:44:06,e3e80014,9,,0,0,3995.705,1,0,0
trip_78,07:45:52,07:45:52,725998a7,10,,0,0,4325.637,1,0,0
trip_79,07:00:00,07:00:00,5198a8ab,1,,0,0,0.0,1,0,0
trip_79,07:01:48,07:01:48,c3a513ea,2,,0,0,1060.864,1,0,0
trip_79,07:02:34,07:02:34,bd69752a,3,,0,0,1126.321,1,0,0
trip_79,07:04:54,07:04:54,78c15359,4,,0,0,1322.861,1,0,0
trip_79,07:06:04,07:06:04,21cb11fc,5,,0,0,1433.256,1,0,0
trip_79,07:08:20,07:08:20,d51fd3a8,6,,0,0,1624.876,1,0,0
trip_79,07:13:01,07:13:01,5dbcc3a7,7,,0,0,2015.238,1,0,0
trip_79,07:13:56,07:13:56,c6e45e2b,8,,0,0,2091.766,1,0,0
trip_79,07:16:08,07:16:08,f75fadda,9,,0,0,2276.385,1,0,0
trip_79,07:17:31,07:17:31,f2e43573,10,,0,0,2390.067,1,0,0
trip_79,07:20:27,07:20:27,f4139105,11,,0,0,2635.251,1,0,0
trip_79,07:22:07,07:22:07,19cbd6a7,12,,0,0,2829.931,1,0,0
trip_79,07:25:48,07:25:48,65c7a2cc,13,,0,0,3157.097,1,0,0
trip_79,07:30:41,07:30:41,e5eb5b17,14,,0,0,3556.421,1,0,0
trip_79,07:32:09,07:32:09,03c945f5,15,,0,0,3712.688,1,0,0
trip_79,07:34:37,07:34:37,fd295a1c,16,,0,0,3917.693,1,0,0
trip_80,08:00:00,08:00:00,beb3e167,1,,0,0,0.0,1,0,0
trip_80,08:03:18,08:03:18,35766ad9,2,,0,0,2685.371,1,0,0
trip_80,08:07:04,08:07:04,ac18a12b,3,,0,0,3057.872,1,0,0
trip_80,08:09:24,08:09:24,415655cd,4,,0,0,3264.757,1,0,0
trip_80,08:14:44,08:14:44,25969f32,5,,0,0,3825.085,1,0,0
trip_80,08:20:50,08:20:50,584748a7,6,,0,0,4878.415,1,0,0
trip_80,08:21:34,08:21:34,cbd050a5,7,,0,0,5023.879,1,0,0
trip_80,08:25:31,08:25:31,5199b9fb,8,,0,0,5577.939,1,0,0
trip_81,07:00:00,07:00:00,b55d1f87,1,,0,0,0.0,1,0,0
trip_81,07:07:22,07:07:22,cc4c2a53,2,,0,0,649.887,1,0,0
trip_81,07:17:08,07:17:08,63b0d0f8,3,,0,0,1497.359,1,0,0
trip_81,07:18:25,07:18:25,bf9655f1,4,,0,0,1608.4,1,0,0
trip_81,07:19:03,07:19:03,39e13840,5,,0,0,1661.385,1,0,0
trip_82,08:00:00,08:00:00,30043cd4,1,,0,0,0.0,1,0,0
trip_82,08:03:29,08:03:29,f83f1794,2,,0,0,885.907,1,0,0
trip_82,08:07:58,08:07:58,b163a4ee,3,,0,0,1263.855,1,0,0
trip_82,08:14:53,08:14:53,04f28a02,4,,0,0,1842.903,1,0,0
trip_82,08:17:38,08:17:38,8e78dd79,5,,0,0,2072.389,1,0,0
trip_82,08:18:15,08:18:15,6c3c4196,6,,0,0,2123.438,1,0,0
trip_82,08:21:09,08:21:09,c593d4f0,7,,0,0,2368.914,1,0,0
trip_82,08:22:20,08:22:20,aafb6ce4,8,,0,0,2466.882,1,0,0
trip_82,08:26:25,08:26:25,fba52574,9,,0,0,2806.384,1,0,0
trip_82,08:28:49,08:28:49,bcb5739f,10,,0,0,3007.759,1,0,0
trip_82,08:35:24,08:35:24,535a5006,11,,0,0,3562.814,1,0,0
trip_83,08:00:00,08:00:00,7065130b,1,,0,0,0.0,1,0,0
trip_83,08:09:50,08:09:50,1a804311,2,,0,0,881.733,1,0,0
trip_83,08:11:38,08:11:38,480c128d,3,,0,0,1041.792,1,0,0
trip_83,08:15:02,08:15:02,0cce4701,4,,0,0,1416.484,1,0,0
trip_83,08:18:29,08:18:29,d4b9dcf4,5,,0,0,1639.8,1,0,0
trip_83,08:19:09,08:19:09,1fad66e6,6,,0,0,1639.8,1,0,0
trip_84,08:00:00,08:00:00,7065130b,1,,0,0,0.0,1,0,0
trip_84,08:03:42,08:03:42,aca6c657,2,,0,0,450.497,1,0,0
trip_84,08:06:05,08:06:05,ef167058,3,,0,0,648.853,1,0,0
trip_84,08:08:11,08:08:11,2abe1c4c,4,,0,0,918.73,1,0,0
trip_84,08:08:23,08:08:23,8231c1b0,5,,0,0,935.326,1,0,0
trip_84,08:11:49,08:11:49,1adb3f71,6,,0,0,1224.76,1,0,0
trip_84,08:16:19,08:16:19,ab552843,7,,0,0,1621.388,1,0,0
trip_85,08:00:00,08:00:00,ccc58515,1,,0,0,0.0,1,0,0
trip_85,08:06:30,08:06:30,a079593c,2,,0,0,711.659,1,0,0
trip_85,08:08:51,08:08:51,beb05d99,3,,0,0,906.87,1,0,0
trip_85,08:09:47,08:09:47,36f7753f,4,,0,0,985.538,1,0,0
trip_85,08:10:56,08:10:56,e23b8934,5,,0,0,1116.773,1,0,0
trip_85,08:12:55,08:12:55,aa601233,6,,0,0,1283.258,1,0,0
trip_85,08:15:14,08:15:14,c2415af1,7,,0,0,1533.448,1,0,0
trip_85,08:18:28,08:18:28,49b513ba,8,,0,0,1856.32,1,0,0
trip_85,08:20:41,08:20:41,d2b566e4,9,,0,0,2074.577,1,0,0
trip_86,08:00:00,08:00:00,ccc58515,1,,0,0,0.0,1,0,0
trip_86,08:01:52,08:01:52,7e18b64f,2,,0,0,169.955,1,0,0
trip_86,08:07:43,08:07:43,46288e16,3,,0,0,663.398,1,0,0
trip_87,08:00:00,08:00:00,5af4f981,1,,0,0,0.0,1,0,0
trip_87,08:03:41,08:03:41,071f158a,2,,0,0,317.162,1,0,0
trip_87,08:11:10,08:11:10,da70afc8,3,,0,0,946.258,1,0,0
trip_87,08:14:55,08:14:55,f12359da,4,,0,0,1391.578,1,0,0
trip_87,08:17:43,08:17:43,065afe34,5,,0,0,1625.581,1,0,0
trip_87,08:19:43,08:19:43,c3006dca,6,,0,0,1838.514,1,0,0
trip_87,08:28:12,08:28:12,7c0b1e68,7,,0,0,2836.783,1,0,0
trip_87,08:31:12,08:31:12,566b96da,8,,0,0,3086.48,1,0,0
trip_87,08:33:08,08:33:08,8b94f762,9,,0,0,3247.074,1,0,0
trip_88,07:00:00,07:00:00,b29a9dd3,1,,0,0,0.0,1,0,0
trip_88,07:02:43,07:02:43,19d3f1fa,2,,0,0,240.415,1,0,0
trip_88,07:03:58,07:03:58,aa4fa85c,3,,0,0,365.424,1,0,0
trip_88,07:07:28,07:07:28,a90e098b,4,,0,0,771.486,1,0,0
trip_89,08:00:00,08:00:00,c3fd9d2c,1,,0,0,0.0,1,0,0
trip_89,08:04:54,08:04:54,3191c7a7,2,,0,0,460.126,1,0,0
trip_89,08:07:10,08:07:10,12259bf7,3,,0,0,649.665,1,0,0
trip_89,08:12:40,08:12:40,7c887436,4,,0,0,1239.089,1,0,0
trip_89,08:17:44,08:17:44,e86ea18a,5,,0,0,1668.176,1,0,0
trip_89,08:18:03,08:18:03,effe68a2,6,,0,0,1695.177,1,0,0
trip_89,08:25:04,08:25:04,a878bf68,7,,0,0,2282.125,1,0,0
trip_89,08:29:10,08:29:10,be9970ab,8,,0,0,2735.942,1,0,0
trip_89,08:36:25,08:36:25,332e6de7,9,,0,0,3340.334,1,0,0
trip_89,08:38:16,08:38:16,79127517,10,,0,0,3534.168,1,0,0
trip_90,08:00:00,08:00:00,a0f53a8a,1,,0,0,0.0,1,0,0
trip_90,08:07:00,08:07:00,d5eda24c,2,,0,0,697.917,1,0,0
trip_90,08:09:17,08:09:17,3ef58576,3,,0,0,931.372,1,0,0
trip_90,08:10:49,08:10:49,4c6d54fa,4,,0,0,1075.432,1,0,0
trip_90,08:15:11,08:15:11,cce22b86,5,,0,0,1465.959,1,0,0
trip_91,08:00:00,08:00:00,059aac4d,1,,0,0,0.0,1,0,0
trip_91,08:00:47,08:00:47,b5f3bbe3,2,,0,0,117.75,1,0,0
trip_91,08:05:27,08:05:27,5ea511c9,3,,0,0,657.934,1,0,0
trip_91,08:09:46,08:09:46,8c4ab996,4,,0,0,1016.857,1,0,0
trip_91,08:15:14,08:15:14,8eed6756,5,,0,0,1473.412,1,0,0
trip_91,08:17:39,08:17:39,4e27ea46,6,,0,0,1673.051,1,0,0
trip_92,07:00:00,07:00:00,059aac4d,1,,0,0,0.0,1,0,0
trip_92,07:02:39,07:02:39,ee584869,2,,0,0,328.469,1,0,0
trip_92,07:06:05,07:06:05,44b6bd3d,3,,0,0,614.169,1,0,0
trip_92,07:06:48,07:06:48,86f3b2e5,4,,0,0,683.293,1,0,0
trip_92,07:07:53,07:07:53,0351388b,5,,0,0,774.019,1,0,0
trip_92,07:14:57,07:14:57,547cdcfa,6,,0,0,1366.171,1,0,0
trip_93,08:00:00,08:00:00,737b0de8,1,,0,0,0.0,1,0,0
trip_93,08:05:08,08:05:08,ed0b1e70,2,,0,0,424.106,1,0,0
trip_93,08:09:46,08:09:46,79e627d5,3,,0,0,808.398,1,0,0
trip_93,08:13:17,08:13:17,c3797e0c,4,,0,0,1101.46,1,0,0
trip_93,08:14:44,08:14:44,b3289829,5,,0,0,1223.2,1,0,0
trip_94,07:00:00,07:00:00,4df723d8,1,,0,0,0.0,1,0,0
trip_94,07:04:04,07:04:04,1d699236,2,,0,0,339.366,1,0,0
trip_94,07:07:29,07:07:29,eadd8849,3,,0,0,626.476,1,0,0
trip_94,07:09:25,07:09:25,ab81bdad,4,,0,0,787.9,1,0,0
trip_94,07:12:08,07:12:08,66b4143d,5,,0,0,1014.871,1,0,0
trip_94,07:16:09,07:16:09,b82e0b46,6,,0,0,1351.717,1,0,0
trip_94,07:18:58,07:18:58,c9d7e907,7,,0,0,1586.788,1,0,0
trip_94,07:28:22,07:28:22,e7a7d93e,8,,0,0,2762.906,1,0,0
trip_94,07:32:18,07:32:18,4f7868e9,9,,0,0,3156.508,1,0,0
trip_95,07:00:00,07:00:00,4df723d8,1,,0,0,0.0,1,0,0
trip_95,07:09:29,07:09:29,412d978f,2,,0,0,794.597,1,0,0
trip_95,07:13:51,07:13:51,5d36ffb7,3,,0,0,1159.361,1,0,0
trip_95,07:16:34,07:16:34,86a049a0,4,,0,0,1386.697,1,0,0
trip_96,07:00:00,07:00:00,a7df72d1,1,,0,0,0.0,1,0,0
trip_96,07:02:43,07:02:43,441e974f,2,,0,0,540.256,1,0,0
trip_96,07:03:20,07:03:20,8edf78f7,3,,0,0,592.174,1,0,0
trip_96,07:06:59,07:06:59,9689458f,4,,0,0,896.439,1,0,0
trip_96,07:20:28,07:20:28,630872e5,5,,0,0,2586.312,1,0,0
trip_96,07:28:30,07:28:30,638b0733,6,,0,0,3278.833,1,0,0
trip_97,07:00:00,07:00:00,a7df72d1,1,,0,0,0.0,1,0,0
