route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
route_210,,Guru DronaCharya,Flexible e-Rickshaw from Guru DronaCharya,,715,,,,,,
route_209,,Karol Bagh,Flexible e-Rickshaw from Karol Bagh,,715,,,,,,
route_208,,Karol Bagh,Flexible e-Rickshaw from Karol Bagh,,715,,,,,,
route_207,,Sultan Pur,Flexible e-Rickshaw from Sultan Pur,,715,,,,,,
route_206,,Rajendra Place,Flexible Cycle Rickshaw from Rajendra Place,,715,,,,,,
route_205,,Rajendra Place,Flexible e-Rickshaw from Rajendra Place,,715,,,,,,
route_202,,Tagore Garden,Flexible e-Rickshaw from Tagore Garden,,715,,,,,,
route_203,,Rajendra Place,Flexible e-Rickshaw from Rajendra Place,,715,,,,,,
route_199,,Chhatar Pur,Flexible e-Rickshaw from Chhatar Pur,,715,,,,,,
route_198,,Tilak Nagar,Flexible e-Rickshaw from Tilak Nagar,,715,,,,,,
route_197,,Chhatar Pur,Flexible Gramin-Seva from Chhatar Pur,,715,,,,,,
route_195,,Qutab Minar,Flexible Shared Auto from Qutab Minar,,715,,,,,,
route_191,,Tilak Nagar,Flexible e-Rickshaw from Tilak Nagar,,715,,,,,,
route_189,,Malaviya Nagar,Flexible Shared Auto from Malaviya Nagar,,715,,,,,,
route_308,,Kalindi Kunj,Flexible e-Rickshaw from Kalindi Kunj,,715,,,,,,
route_181,,Uttam Ngr West,Flexible e-Rickshaw from Uttam Ngr West,,715,,,,,,
route_179,,Nawada,Flexible e-Rickshaw from Nawada,,715,,,,,,
route_186,,Uttam Ngr East,Flexible e-Rickshaw from Uttam Ngr East,,715,,,,,,
route_293,,Badarpur,Flexible Gramin-Seva from Badarpur,,715,,,,,,
route_172,,Dwarka Mor,Flexible e-Rickshaw from Dwarka Mor,,715,,,,,,
route_176,,dwarka mor,Flexible e-Rickshaw from dwarka mor,,715,,,,,,
route_174,,Dwarka Mor,Flexible e-Rickshaw from Dwarka Mor,,715,,,,,,
route_34,,Pul Bangash,Flexible e-Rickshaw from Pul Bangash,,715,,,,,,
route_171,,Dwarka Mor,Flexible e-Rickshaw from Dwarka Mor,,715,,,,,,
route_273,,Dashrathpuri,Flexible e-Rickshaw from Dashrathpuri,,715,,,,,,
route_175,,Dwarka Mor,Flexible e-Rickshaw from Dwarka Mor,,715,,,,,,
route_168,,Dwarka,Flexible e-Rickshaw from Dwarka,,715,,,,,,
route_163,,Kashmere Gate,Flexible e-Rickshaw from Kashmere Gate,,715,,,,,,
route_304,,Jasola Vihar,Flexible e-Rickshaw from Jasola Vihar,,715,,,,,,
route_21,,Rithala,Flexible e-Rickshaw from Rithala,,715,,,,,,
route_161,,Kashmere Gate Metro,Flexible Shared Auto from Kashmere Gate Metro,,715,,,,,,
