trip_id,start_time,end_time,headway_secs,exact_times
trip_141,07:00:00,19:30:00,300,0
trip_142,07:00:00,20:00:00,300,0
trip_143,07:00:00,19:00:00,300,0
trip_144,07:00:00,19:30:00,300,0
trip_145,07:30:00,20:00:00,300,0
trip_146,07:30:00,20:30:00,300,0
trip_147,07:30:00,20:00:00,300,0
trip_148,06:00:00,23:00:00,2400,0
trip_149,07:30:00,20:00:00,300,0
trip_150,07:30:00,20:00:00,300,0
trip_151,07:30:00,20:00:00,300,0
trip_152,06:30:00,23:30:00,1200,0
trip_153,07:30:00,20:00:00,300,0
trip_154,07:30:00,19:30:00,300,0
trip_155,06:00:00,22:30:00,1800,0
trip_156,06:00:00,23:30:00,2400,0
trip_157,08:00:00,19:00:00,300,0
trip_158,08:00:00,18:30:00,600,0
trip_159,07:00:00,23:30:00,1800,0
trip_160,06:00:00,23:00:00,600,0
trip_161,07:00:00,19:00:00,300,0
trip_162,06:00:00,23:00:00,1200,0
trip_163,07:00:00,19:00:00,300,0
trip_164,06:00:00,23:00:00,1800,0
trip_165,06:00:00,23:00:00,1800,0
trip_166,07:00:00,19:00:00,300,0
trip_167,07:00:00,19:00:00,300,0
trip_168,06:00:00,23:00:00,1800,0
trip_169,06:00:00,23:00:00,1800,0
trip_170,08:00:00,19:00:00,300,0
trip_171,06:00:00,23:00:00,1200,0
trip_172,07:00:00,23:00:00,1500,0
trip_173,06:00:00,23:00:00,1200,0
trip_174,06:00:00,23:00:00,1800,0
trip_175,06:00:00,23:00:00,1800,0
trip_176,05:30:00,23:30:00,1200,0
trip_177,07:30:00,19:30:00,300,0
trip_178,06:00:00,23:00:00,1500,0
trip_179,06:30:00,23:00:00,1800,0
trip_180,06:00:00,23:00:00,1500,0
trip_181,06:00:00,23:00:00,1800,0
trip_182,08:00:00,18:00:00,300,0
trip_183,06:00:00,23:00:00,1500,0
trip_184,06:00:00,23:00:00,1800,0
trip_185,06:00:00,23:00:00,2400,0
trip_186,06:00:00,23:00:00,1500,0
trip_187,06:00:00,23:00:00,1500,0
trip_188,06:00:00,23:00:00,1500,0
trip_189,08:00:00,18:00:00,300,0
trip_190,08:00:00,18:00:00,300,0
trip_191,06:00:00,23:00:00,2400,0
trip_192,06:00:00,23:00:00,2400,0
trip_193,07:30:00,19:00:00,300,0
trip_194,06:00:00,23:00:00,2400,0
trip_195,08:00:00,19:00:00,300,0
trip_196,06:00:00,23:00:00,1500,0
trip_197,08:00:00,19:00:00,300,0
trip_198,06:30:00,23:00:00,2700,0
trip_199,07:30:00,19:00:00,300,0
trip_200,07:30:00,19:00:00,300,0
trip_201,06:00:00,23:00:00,1200,0
trip_202,06:30:00,23:00:00,1500,0
trip_203,06:00:00,23:00:00,1200,0
trip_204,07:30:00,19:00:00,300,0
trip_205,06:00:00,23:00:00,1200,0
trip_206,06:00:00,23:00:00,2400,0
trip_207,08:00:00,18:00:00,600,0
trip_208,06:00:00,23:00:00,1200,0
trip_209,06:30:00,23:00:00,1800,0
trip_210,08:00:00,18:00:00,300,0
trip_211,06:30:00,23:00:00,2100,0
trip_212,08:00:00,19:00:00,300,0
trip_213,06:30:00,23:00:00,1800,0
trip_214,06:00:00,23:00:00,2400,0
trip_215,06:00:00,23:00:00,1500,0
trip_216,07:00:00,23:00:00,3000,0
trip_217,06:00:00,23:30:00,2400,0
trip_218,06:00:00,23:30:00,2100,0
trip_219,06:00:00,23:30:00,2100,0
trip_220,06:00:00,23:00:00,1800,0
trip_221,07:00:00,23:00:00,1200,0
trip_222,06:00:00,23:30:00,2400,0
trip_223,06:00:00,23:00:00,2400,0
trip_224,07:00:00,23:00:00,3000,0
trip_225,06:00:00,23:00:00,2400,0
trip_226,06:30:00,23:00:00,1800,0
trip_227,06:00:00,12:20:00,1800,0
trip_228,07:00:00,23:00:00,1800,0
trip_229,06:00:00,23:30:00,2400,0
trip_230,08:00:00,19:00:00,300,0
trip_231,07:00:00,23:30:00,2700,0
trip_232,08:00:00,19:00:00,300,0
trip_233,06:00:00,23:00:00,1500,0
trip_234,08:00:00,19:00:00,300,0
trip_235,06:30:00,23:30:00,1500,0
trip_236,08:00:00,19:00:00,300,0
trip_237,08:00:00,19:00:00,300,0
trip_238,07:00:00,23:30:00,2700,0
trip_239,08:00:00,19:00:00,300,0
trip_240,06:00:00,23:00:00,1800,0
trip_241,06:00:00,23:30:00,1800,0
trip_242,06:00:00,23:30:00,2100,0
trip_243,06:00:00,23:30:00,2100,0
trip_244,07:00:00,23:30:00,1800,0
trip_245,06:00:00,23:30:00,1200,0
trip_246,08:00:00,19:00:00,300,0
trip_247,08:00:00,19:00:00,300,0
trip_248,06:30:00,23:30:00,1800,0
trip_249,08:00:00,19:00:00,300,0
trip_250,08:00:00,19:00:00,300,0
trip_251,08:00:00,19:00:00,300,0
trip_252,08:00:00,19:00:00,300,0
trip_253,08:00:00,19:00:00,300,0
trip_254,08:00:00,19:00:00,300,0
trip_255,08:00:00,19:00:00,300,0
trip_256,07:00:00,23:00:00,1200,0
trip_257,07:30:00,19:30:00,300,0
trip_258,07:00:00,23:00:00,1500,0
trip_259,07:30:00,19:30:00,300,0
trip_260,07:30:00,19:30:00,300,0
trip_261,07:30:00,19:30:00,300,0
trip_262,07:30:00,19:30:00,300,0
trip_263,07:30:00,19:30:00,300,0
trip_264,07:30:00,19:30:00,300,0
trip_265,07:00:00,23:00:00,2400,0
trip_266,07:00:00,23:00:00,1800,0
trip_267,07:30:00,19:30:00,300,0
trip_268,08:00:00,20:00:00,300,0
trip_269,08:00:00,20:00:00,300,0
trip_270,07:00:00,23:00:00,3000,0
trip_271,07:00:00,23:00:00,1800,0
trip_272,06:00:00,23:30:00,1800,0
trip_273,07:00:00,23:30:00,1200,0
trip_274,06:00:00,23:00:00,1800,0
trip_275,06:00:00,23:00:00,1800,0
trip_276,07:00:00,23:00:00,1800,0
trip_277,07:00:00,23:00:00,2400,0
trip_278,08:00:00,19:00:00,300,0
trip_279,08:00:00,19:00:00,300,0
trip_280,07:30:00,19:30:00,300,0
trip_281,08:00:00,20:00:00,300,0
trip_282,08:00:00,19:00:00,300,0
trip_283,07:30:00,23:00:00,3600,0
trip_284,08:00:00,19:00:00,300,0
trip_285,07:00:00,22:00:00,300,0
trip_286,07:00:00,22:00:00,300,0
trip_287,07:00:00,22:00:00,300,0
trip_288,06:00:00,23:00:00,2400,0
trip_289,07:00:00,22:00:00,300,0
trip_290,07:00:00,22:00:00,300,0
trip_291,07:00:00,21:00:00,300,0
trip_292,07:00:00,23:00:00,1800,0
trip_293,07:00:00,21:00:00,300,0
trip_294,06:00:00,23:30:00,1500,0
trip_295,06:00:00,23:30:00,1200,0
trip_296,08:00:00,22:00:00,300,0
trip_297,06:00:00,23:30:00,1200,0
trip_298,08:00:00,22:00:00,300,0
trip_299,06:00:00,23:30:00,1800,0
trip_300,06:00:00,23:30:00,1800,0
trip_301,06:00:00,23:30:00,2400,0
trip_302,06:00:00,23:30:00,2400,0
trip_303,08:00:00,22:00:00,300,0
trip_304,06:00:00,23:30:00,2400,0
trip_305,08:00:00,22:00:00,300,0
trip_306,07:00:00,23:00:00,1200,0
trip_307,07:00:00,23:00:00,2700,0
trip_308,06:00:00,23:30:00,1800,0
