shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_715_9,28.605564,77.144821,18,590.018
shp_715_9,28.605593,77.144691,19,603.123
shp_715_9,28.605738,77.144226,20,651.627
shp_715_9,28.605806,77.144035,21,672.1
shp_715_9,28.60589,77.143631,22,712.362
shp_715_9,28.60652,77.14241,23,850.785
shp_715_9,28.606993,77.141777,24,932.052
shp_715_9,28.607489,77.141266,25,1006.781
shp_715_9,28.607519,77.141068,26,1026.195
shp_715_9,28.607521,77.141006,27,1031.991
shp_715_9,28.60751,77.140953,28,1037.439
shp_715_9,28.607491,77.140923,29,1041.323
shp_715_9,28.607393,77.140785,30,1058.404
shp_715_9,28.607176,77.140656,31,1085.445
shp_715_9,28.607038,77.140503,32,1107.332
shp_715_9,28.606985,77.14035,33,1122.785
shp_715_9,28.606964,77.140213,34,1136.493
shp_715_9,28.606947,77.1399,35,1167.697
shp_715_9,28.606936,77.13945,36,1211.079
shp_715_9,28.606958,77.139282,37,1227.768
shp_715_9,28.607031,77.139,38,1256.564
shp_715_9,28.607395,77.13784,39,1377.19
shp_715_9,28.607407,77.137733,40,1387.621
shp_715_9,28.607374,77.137619,41,1399.191
shp_715_9,28.607309,77.137482,42,1414.653
shp_715_9,28.607279,77.137444,43,1419.687
shp_715_9,28.607256,77.137398,44,1424.734
shp_715_9,28.607143,77.137291,45,1441.072
shp_715_9,28.607023,77.137192,46,1457.512
shp_715_9,28.603058,77.135239,47,1938.527
shp_715_9,28.602112,77.13475,48,2054.013
shp_715_9,28.602335,77.134201,49,2113.122
shp_715_9,28.604752,77.128059,50,2770.875
shp_715_9,28.604603,77.127342,51,2842.777
shp_715_9,28.599379,77.124725,52,3478.4
shp_715_9,28.596893,77.123459,53,3781.19
shp_715_9,28.594831,77.122452,54,4031.104
shp_715_9,28.594831,77.122452,55,4031.104
shp_715_9,28.594812,77.122444,56,4033.479
shp_715_9,28.594633,77.122879,57,4080.34
shp_715_9,28.595234,77.123177,58,4153.439
shp_715_9,28.595415,77.122734,59,4200.929
shp_715_9,28.596893,77.123459,60,4380.003
shp_715_9,28.599379,77.124725,61,4682.793
shp_715_9,28.596834,77.131271,62,5382.387
shp_715_9,28.596809,77.131393,63,5394.557
shp_715_9,28.596804,77.131508,64,5406.015
shp_715_9,28.596813,77.131599,65,5415.371
shp_715_9,28.596905,77.131805,66,5437.766
shp_715_9,28.596928,77.131912,67,5448.179
shp_715_9,28.596924,77.132019,68,5458.751
shp_715_9,28.596895,77.132118,69,5469.324
shp_715_9,28.596838,77.132217,70,5480.807
shp_715_9,28.596779,77.132271,71,5489.246
shp_715_9,28.596727,77.132309,72,5495.926
shp_715_10,28.608654,77.140457,1,0.0
shp_715_10,28.607954,77.141014,2,94.956
shp_715_10,28.607576,77.14135,3,148.136
